HSC1_1	HSC1_13	HSC1_14	HSC1_2	HSC1_3	HSC1_4	HSC1_6	HSC1_7	HSC1_8	HSC1_9	HSC3_10	HSC3_12	HSC3_13	HSC3_14	CMP_4	CMP_5	CMP_6	CMP_7	MEP_1	MEP_2	MEP_3	MEP_4	MEP_5	MEP_6	MEP_7	MEP_8	MEP_9	ERY1_3	ERY1_4	ERY1_5	ERY1_6	ERY1_7	ERY1_8	ERY1_9	ERY2_3	ERY2_4	ERY2_5	ERY2_6	ERY2_7	ERY2_8	ERY2_9	ERY3_3	ERY3_4	ERY3_5	ERY3_6	ERY3_7	ERY3_8	ERY4_3	ERY4_4	ERY4_5	ERY4_6	ERY4_7	ERY4_8	ERY4_9	ERY5_3	ERY5_5	ERY5_6	ERY5_7	ERY5_8	ERY5_9	MEGA1_2	MEGA1_3	MEGA1_4	MEGA1_5	MEGA1_6	MEGA1_7	MEGA2_2	MEGA2_3	MEGA2_4	MEGA2_5	MEGA2_6	MEGA2_7	GMP_4	GMP_5	GMP_7	GMP_9	GRAN1_2	GRAN1_3	GRAN1_4	GRAN1_5	GRAN1_6	GRAN2_2	GRAN2_4	GRAN2_5	GRAN2_6	GRAN3_3	GRAN3_4	GRAN3_5	GRAN3_6	MONO1_1	MONO1_2	MONO1_3	MONO1_4	MONO2_1	MONO2_2	MONO2_3	MONO2_4	MONO2_5	EOS2_1	EOS2_2	EOS2_3	EOS2_4	EOS2_5	BASO1_3	BASO1_4	BASO1_5	BASO1_6	BASO1_7	BASO1_8	DENDA2_1	DENDA2_2	DENDA2_3	DENDA2_4	DENDA2_5	DENDA1_1	DENDA1_2	DENDA1_3	DENDA1_4	DENDA1_5	PREBCELL2_1	PREBCELL2_3	PREBCELL2_4	PREBCELL2_6	PREBCELL3_1	PREBCELL3_3	PREBCELL3_4	PREBCELL3_5	PREBCELL3_6	BCELLA1_1	BCELLA1_2	BCELLA1_3	BCELLA1_4	BCELLA1_5	BCELLA2_1	BCELLA2_2	BCELLA2_3	BCELLA2_4	BCELLA2_5	BCELLA3_1	BCELLA3_2	BCELLA3_3	BCELLA3_4	BCELLA3_5	BCELLA4_1	BCELLA4_2	BCELLA4_3	BCELLA4_4	BCELLA4_5	NKA1_1	NKA1_2	NKA1_4	NKA1_5	NKA2_1	NKA2_2	NKA2_3	NKA2_4	NKA2_5	NKA3_1	NKA3_2	NKA3_3	NKA3_4	NKA3_5	NKA4_2	NKA4_3	NKA4_4	NKA4_5	TCELLA1_11	TCELLA1_5	TCELLA1_6	TCELLA1_7	TCELLA2_10	TCELLA2_11	TCELLA2_3	TCELLA2_5	TCELLA2_6	TCELLA2_7	TCELLA2_8	TCELLA3_11	TCELLA3_3	TCELLA3_5	TCELLA3_6	TCELLA3_7	TCELLA3_8	TCELLA4_10	TCELLA4_11	TCELLA4_3	TCELLA4_5	TCELLA4_6	TCELLA4_7	TCELLA4_8	TCELLA6_10	TCELLA6_11	TCELLA6_3	TCELLA6_5	TCELLA6_6	TCELLA6_7	TCELLA6_8	TCELLA7_10	TCELLA7_11	TCELLA7_3	TCELLA7_5	TCELLA7_6	TCELLA7_7	TCELLA7_8	TCELLA8_10	TCELLA8_11	TCELLA8_3	TCELLA8_5	TCELLA8_6	TCELLA8_7	TCELLA8_8
PCF11	0.37557	0.20327	0.45337	0.39817	0.17507	-0.92103	0.38327	0.58947	0.48377	-0.01623	0.39917	0.47797	0.31027	0.82757	-0.62393	-0.84743	-0.85273	-0.63373	0.00687	0.24607	0.41657	0.48907	-0.94153	-0.40533	0.10607	-0.16423	0.24227	-0.41443	-1.40463	0.36757	-0.27113	-1.24253	-0.25343	0.12587	-3.92623	0.37397	-0.56353	-0.18003	-0.07493	-0.08893	-0.34563	-0.12043	-1.91563	-0.77633	-2.36663	-1.71853	0.43537	-3.89203	-3.85433	-2.31443	-2.37173	-1.93353	-0.80333	0.43207	-0.50403	-2.47443	-0.93213	-3.37983	0.31437	-0.86523	-0.52573	-0.60913	0.28047	-0.38973	-0.45653	-0.70393	-1.47693	-1.86173	-0.09233	-1.06423	-0.71503	-1.33753	-1.18233	-0.02873	-0.43013	-0.27163	0.74657	1.61027	0.13097	0.96447	0.53407	0.79037	0.24407	0.09027	0.18567	-0.14183	0.09087	0.96347	0.42357	-0.07003	-0.06233	-1.29843	-1.58973	-0.11083	0.32727	0.36537	-0.39753	-0.39273	-0.01783	0.29477	0.19017	-0.24383	-0.65103	-0.98003	0.53617	-1.09273	0.07587	-0.77783	0.00917	0.60387	-0.50443	-0.21113	-0.50603	-0.52983	0.74277	-0.23623	-1.08413	-0.07293	-0.54433	-0.31563	-0.16393	-0.77063	-1.10123	-0.76433	-0.67583	-0.34283	-0.60933	-1.80713	1.13067	1.05837	2.31637	1.04487	1.27257	0.73997	1.00357	1.43777	1.13327	1.06037	1.72727	1.24117	1.32797	1.23987	1.12797	1.03017	1.15067	1.04087	1.13217	1.11827	-0.29453	-0.24593	0.07677	-0.82463	0.13737	-0.03513	0.15147	-0.62633	-0.03333	-0.01123	0.17387	-0.38263	1.29777	-0.53763	-1.51923	0.10387	-0.60323	-1.39883	-0.11143	0.55707	1.15737	0.90577	1.64367	0.88577	1.08977	1.40157	1.05827	0.60697	0.92607	0.39257	0.29587	0.74617	-0.47993	0.88157	0.19607	0.80847	0.75687	1.47387	1.05887	1.02947	1.73617	-0.27533	0.87067	1.21047	0.57997	0.94497	1.29327	1.27477	0.74897	-0.55013	-0.12093	0.84457	0.68757	1.04967	0.86307	0.90487	0.29577	0.49227	1.16357	0.93687	0.59577	1.14417	1.03797
MAP4K4	-0.2508	-0.391	-0.6045	-0.2363	-0.3892	-0.8952	0.0268	-0.2719	-0.0854	-0.1457	-0.0716	-0.0482	-0.3715	-0.5643	-0.9011	-1.5526	-1.4846	-0.5294	0.1687	-0.3301	-0.1931	-0.0778	-1.2414	-1.0086	-0.2868	-0.3534	0.0596	-0.1371	-1.2807	-0.8777	-0.6505	-0.6171	-0.0786	0.6593	-2.2582	-0.1403	-0.5928	-0.4624	0.2993	-0.0685	0.1897	1.0206	-1.7134	0.5959	-0.8359	0.7366	1.1124	-0.5265	-0.3113	-1.3186	0.4095	-0.5002	-0.1017	1.2839	-1.3189	-0.8063	0.0105	-0.2496	-0.5454	0.6658	-0.4087	-0.2597	0.0124	-0.2909	-0.9445	-0.5125	-0.4162	-0.2926	-0.1419	-0.779	-0.4569	-1.2431	-0.6067	-0.2341	-0.3003	-0.1324	0.7598	1.5383	-0.148	1.0323	0.4414	0.2559	0.365	0.0726	0.3091	-0.0887	0.292	0.6985	0.3966	0.0794	0.036	-0.8626	-0.1457	0.5285	0.6093	0.9051	-0.0435	-0.0754	-0.3755	0.7699	0.5737	-0.149	-0.441	-0.9114	-0.3869	-0.5013	0.3602	-0.0839	0.7818	-0.4523	-1.1762	-1.6034	-1.5067	-1.5193	0.8899	-0.7619	-1.6228	0.0102	-1.9495	0.1553	-0.2712	-1.892	-0.3391	-1.127	-0.1147	-0.9545	-0.9157	0.2436	1.1447	0.9204	2.1002	1.0935	1.5521	0.708	0.6525	1.4047	1.1599	0.8572	1.5947	1.4159	1.1067	1.3252	0.8536	0.9696	0.8066	1.3184	1.3848	1.1754	-0.2054	0.0343	0.4098	-1.2018	-0.8984	-1.0696	-0.1957	-1.1542	-0.8591	-0.6977	-0.5789	-0.9333	0.4132	-1.4859	-1.686	0.8475	-1.0212	-1.6836	-1.0917	0.5035	-0.015	-0.0914	1.1697	0.8417	1.0226	1.5269	0.973	1.025	0.7937	-0.1724	-0.2659	0.0462	-0.36	0.6607	-0.8827	0.112	-0.1385	0.7962	0.96	0.8008	1.094	-0.6699	1.0271	0.6271	0.6721	1.0991	1.1513	1.1897	0.7013	0.0427	-0.3526	0.7519	0.4071	0.8033	0.6751	0.4892	0.8371	0.2833	1.2479	1.1271	0.6677	1.2139	0.8808
RERE	0.52979	0.06719	0.57309	1.02979	0.73649	0.13289	0.78089	1.02349	0.90549	0.44479	0.45169	1.01539	0.35209	1.90109	0.00639	-0.67021	-0.03951	-0.63251	0.18499	0.13439	0.21629	0.45579	-0.47661	0.11759	0.04799	-0.33711	0.22999	-0.11541	-0.27511	0.33429	0.38379	0.07209	-0.36881	-0.39031	0.05079	-0.44671	-0.89251	-0.48791	0.20069	-0.03381	-0.41761	0.46329	-0.98541	-0.67841	-1.02181	-0.73721	-0.22061	-0.90721	-0.61981	-0.56201	-0.47341	-0.70131	-0.20461	-0.96031	-0.85691	-0.45441	-0.45831	-0.70511	0.16069	0.34859	-0.25071	-0.34291	-0.04251	-0.15811	-0.32981	-0.30461	-0.60321	-0.35191	-0.43761	-0.41201	-0.81861	-0.80421	-0.53391	-0.05471	-0.16511	-0.23011	0.08199	1.58159	-0.04571	1.15619	0.09019	0.08029	0.07629	-0.36051	-0.45741	-0.32751	1.01469	1.06169	-0.20741	-0.08991	-0.11111	-0.63671	-0.10091	-0.14221	-0.01741	0.07319	-0.16841	-0.59871	-0.21181	-0.07401	0.32689	0.19959	-0.09421	-0.29251	-0.22721	-0.32961	0.08729	-0.04601	0.13179	0.34409	-0.41811	-0.37851	-0.35121	-0.12281	0.28849	-0.66691	-0.50161	0.27529	-0.94841	0.43019	-0.02031	-1.99321	-0.37391	-0.20131	-0.19691	-0.39441	-0.85811	-0.29621	0.87699	0.82499	2.47429	0.94969	1.20879	0.45189	0.26549	0.80479	0.72359	1.72669	1.51539	1.16089	0.63109	1.11079	0.96169	0.42739	0.48329	1.28359	0.44739	0.51369	-0.17131	0.22229	0.15679	-0.01381	-0.48291	-0.15551	-0.24521	-0.54701	-0.19881	-0.49191	-0.53491	-0.67821	0.35579	-1.10891	-0.73511	0.02349	-0.61921	-0.84941	-0.82701	0.00599	0.03709	-0.75351	0.08089	-0.04731	0.22029	0.45849	0.17599	-0.37941	-0.04301	-0.30091	-0.38581	-0.42321	-0.35191	0.64889	-1.13101	0.05749	-0.37721	0.03329	0.24829	0.04319	-0.03381	-0.98471	0.42249	0.11199	-0.01651	0.60129	0.23679	0.20169	0.27629	-0.06061	-0.39561	0.23359	-0.25261	0.59439	-0.07521	0.29089	0.01459	0.13999	1.26569	0.77759	-0.36071	0.55979	0.27539
CCDC59	-0.43027	-0.19947	-0.18357	-0.26967	0.02993	-0.37767	-0.18827	-0.18597	-0.20217	0.81093	-0.05747	0.13973	-0.12937	-0.09427	-0.48837	-0.24807	-0.07457	0.15353	-0.16067	-0.41337	-0.10947	0.24003	-0.42297	-0.42737	-0.24177	-0.38807	-0.38937	0.08073	-0.56187	-0.65477	-0.27697	0.24003	0.10493	0.22343	-1.90117	-0.34877	-0.35447	-0.02967	0.02073	0.12913	0.24833	-1.00667	-2.81387	-1.08127	-2.35777	-1.94147	-0.12527	-3.21907	-3.09687	-1.23707	-2.57927	-0.66557	-0.75397	0.98313	0.00203	-1.93297	-1.81577	-2.89017	-0.93867	-0.01387	-1.03187	-0.64677	-0.55397	-0.24647	-0.22357	-1.46787	-0.99247	-0.88307	-0.30527	-0.36717	-0.71407	-1.04697	0.04173	-0.06367	-0.87577	0.30953	0.03363	1.05663	-0.32137	0.15203	-0.67047	-0.23907	-0.50387	-0.59337	-0.31477	-0.76357	-0.25357	-0.21667	-0.68267	-0.51587	-0.37667	-0.21267	0.27283	-0.22477	-0.19737	-0.47687	-0.67527	-1.00817	-0.79167	-0.09797	-0.46977	-1.60767	-0.36067	-0.70477	-1.28177	-0.49377	-0.43777	-0.69497	0.58153	-0.05927	-0.33597	-0.65027	-0.01117	-0.21667	0.35503	-0.40707	-0.89097	0.27263	-0.29107	0.39613	-0.21097	0.14483	-0.29297	0.55353	-0.00167	1.09443	-0.84837	0.69683	1.22263	1.20133	2.14623	1.33993	1.49533	1.05973	1.01713	0.99833	1.03023	0.92133	1.30853	1.07093	0.91263	1.25743	0.93263	0.98103	2.05993	0.63673	1.22673	0.97743	0.02653	0.01553	0.09573	-0.15927	-0.02237	0.26593	1.19753	0.22863	-0.20907	0.24003	0.13213	0.33943	0.81413	-0.12777	-0.08747	0.68903	0.34403	-0.31777	-0.47347	0.73553	0.91243	1.02553	0.69043	0.03813	1.06623	1.66403	1.01563	1.11063	0.81983	0.13353	0.44783	1.48583	0.57303	1.12883	0.11613	-0.23327	-0.10807	0.29833	0.97673	0.81733	1.56853	-0.22017	0.08233	-0.11707	0.83183	1.17213	1.21783	0.99863	0.52703	0.40003	-0.30887	0.89103	1.56793	0.71303	0.91073	0.57063	0.38793	-0.07567	0.86463	1.72423	1.09433	0.98713	0.44363
DNMBP	1.13967	1.17887	0.80267	1.49727	-0.11083	0.03007	1.05847	0.62667	0.63957	0.36717	0.77837	0.92307	1.28697	0.82267	-0.03103	0.23697	-0.87183	-1.05473	0.85047	0.15027	-0.01553	0.22327	-1.29863	-0.12163	0.53567	0.35047	-0.08083	0.17047	-1.17403	0.49187	0.25057	0.37197	-0.30603	0.55837	-2.20933	0.49907	-0.53813	0.45487	0.63497	1.08777	0.60607	-1.87213	-1.71043	-3.05083	-1.53253	-2.92943	-2.68393	-3.59483	-2.01853	-1.89223	-2.04963	-0.04453	-1.43403	-1.53963	-2.22793	-2.01203	-0.84293	-1.83653	-1.64513	-1.18563	-1.09493	-0.69143	0.64437	0.47527	0.25417	0.53197	-1.11563	-2.09703	0.15587	-0.67693	-0.05403	-1.95513	0.34047	0.32227	0.22537	0.65517	1.51327	1.76087	0.93197	2.31377	1.36347	1.40037	0.79267	0.55857	1.17267	-0.41003	1.29537	1.04317	1.17447	0.83587	0.41517	-0.47183	0.61457	1.28957	1.57387	1.69717	1.20727	0.86307	0.80057	1.51927	1.92307	0.23677	0.66447	0.40867	1.06467	0.24077	1.63557	0.87047	1.81837	0.43807	-0.26023	-0.50233	-0.50233	-0.62343	-1.85783	-1.43273	-1.27613	-1.49843	-0.69113	-0.59723	-1.61283	-1.02353	-0.16363	1.70717	0.99197	1.04747	-0.83043	1.11577	2.17487	1.60727	3.08917	1.82677	2.56467	1.33327	0.58127	1.80747	1.73867	1.75077	2.43677	1.17987	1.55317	2.25107	1.75037	1.36867	2.05837	1.11677	1.52187	1.44947	1.49127	1.98977	2.09937	0.57147	0.41607	0.46247	1.53787	0.69887	0.58807	-0.04663	-0.28723	0.18677	0.56577	-0.28023	-0.70523	2.54007	-0.67873	-2.17963	-1.16603	-0.97303	1.38047	1.28167	-0.91233	-0.67583	0.03477	-1.02103	0.40027	0.01497	0.04117	-0.31823	-1.48043	-0.73833	0.09597	0.61377	-0.71613	-2.01143	-1.00853	-0.54493	-2.18763	-0.84793	-0.60583	-1.93503	-0.83043	-1.04363	-3.31693	-1.42363	-0.85603	-0.24343	-0.37873	-1.98003	-1.93143	-1.65173	-1.85063	-0.01073	-0.63613	-0.62533	-2.35703	-1.39693	-2.15693	-1.63033	-2.23613	-0.27173	-1.19923
HLA-DMB	1.08542	1.24002	-0.79478	0.70762	-0.51758	-0.34148	0.71932	0.17402	0.45542	0.53962	-0.30788	0.57712	0.83012	0.17992	1.58162	1.09032	-1.65748	-2.44058	-1.45568	-1.74418	-2.19578	-0.86258	-1.87818	-1.75018	-0.13358	-1.79788	-1.90828	-1.93738	-2.11958	-1.13238	-1.87958	-1.80588	-2.12928	-2.50778	-1.43138	-1.48578	0.43492	1.77242	-0.68298	-1.99218	-1.59318	-2.61338	-1.58528	-2.77948	-2.19458	-1.81958	-2.54078	-2.61068	-1.20558	-2.56048	-2.00208	-1.70268	-1.01428	-2.00098	-1.74038	-1.69948	-0.63268	-1.94988	-1.05108	-1.56888	0.08912	-0.37528	0.23942	-0.39078	-0.81248	-0.84428	-0.99418	-1.58888	1.02572	0.06112	0.17492	-1.17258	2.83382	1.44812	1.76482	-1.63858	2.63782	3.27692	0.68392	3.14822	1.83692	2.86432	1.46292	1.65342	1.68332	0.12852	1.86212	2.22752	1.21672	2.58802	3.73582	1.67132	2.45372	2.77472	3.14362	2.86002	3.31232	1.50422	1.15202	2.43312	2.80032	1.84032	1.53372	1.74202	1.88642	0.86402	2.17812	1.96132	3.28032	3.59182	2.36052	1.99662	2.15542	2.98092	2.70012	0.97652	0.16302	2.34572	-0.36058	1.13642	0.30202	-0.92938	0.30592	1.60632	1.96722	0.40612	0.88782	1.44892	2.53412	2.43802	4.76412	2.26942	4.30482	2.10632	2.14432	4.07282	3.58522	2.12732	3.83782	3.68712	2.51012	3.55282	2.46102	2.32252	3.60682	2.44292	2.19862	2.13102	0.11142	0.45042	0.44872	-0.99448	-1.84448	-1.81288	-1.59528	-1.76588	-2.15738	-0.58388	-0.61018	-0.96318	0.41222	-1.19638	-1.69738	0.38932	-1.38448	-1.84468	-2.20288	1.49142	-0.66298	-1.57958	-2.19148	-1.94528	-1.07048	-1.43908	-0.69678	-1.22838	-2.00458	-1.85758	-1.46728	-0.48168	-1.47688	-0.58488	-2.05678	-2.05798	-2.43408	-1.98598	0.17672	-1.40758	-2.15328	-2.25888	-1.57548	-2.48428	-2.52738	-2.44518	-2.08108	-2.33808	-1.75338	-1.55038	-2.10938	-1.84518	-1.99538	-1.27568	-1.66008	-2.19358	-1.89508	-2.18918	-1.55248	-1.51668	-1.10968	-2.34108	-2.33668
JUN	-1.84477	-0.15727	-0.86147	-0.34637	-0.81667	-0.96537	-0.52337	-0.22727	-0.52427	2.27463	0.62373	-0.29217	-0.14967	0.39513	-0.25457	-0.09197	-0.69967	1.98863	-1.38747	-1.36307	-0.50277	0.23613	-0.27667	-0.79497	-1.13327	-1.79537	-1.71907	-0.59337	-1.65427	-0.40157	0.26623	0.00063	-0.61527	-0.61687	-1.40767	-1.42027	-1.19967	-0.48797	-0.44577	-0.30407	-1.42807	-1.77017	-1.95307	-1.94897	-2.16127	-1.58877	-2.09627	-1.73857	-1.89437	-1.22677	-1.87567	-0.46157	-1.86687	-2.15937	-1.58837	-1.55897	-1.80897	-1.39977	-1.13647	-0.93007	-0.79907	-1.03357	-0.68727	-0.95167	-0.55757	-0.55577	-1.02027	-0.52927	-0.07717	-0.71717	-0.27577	-1.00337	-0.17047	-0.84197	-0.84417	-1.28337	-0.01207	1.07193	-0.91847	0.16043	-0.17857	-0.34357	-0.27537	-0.91487	-0.64417	-1.44907	-0.91127	-1.34867	-1.41237	-0.08167	-0.80247	-0.89667	0.97013	-0.46407	-0.88787	-0.29217	-0.58427	0.03583	-0.81487	0.00733	-1.36637	-1.08787	-0.22887	-0.33147	-0.23237	0.29433	0.15753	-0.22747	1.28043	1.42953	0.45853	0.61913	1.54183	0.69813	-0.41327	-1.21587	-0.81317	1.18803	-1.24517	1.23343	0.77903	0.28563	0.30723	0.45493	0.33663	-0.17037	-0.69087	0.87843	2.11773	2.09693	3.52853	2.32853	2.74093	1.57343	1.31283	1.87133	2.06523	1.52023	2.15253	1.57823	1.48813	2.54063	1.79753	1.42783	1.81793	0.93743	1.73983	1.29333	0.63593	-0.25497	0.95743	0.09093	1.95313	0.89033	2.05633	1.88393	1.10663	1.31593	0.50453	0.34323	1.44943	1.62203	1.00483	0.44993	2.01013	0.85223	0.17593	0.80893	-0.19547	1.39613	-1.16967	-1.49467	-0.39267	0.83553	-0.58797	0.91213	-0.56747	2.29103	-0.77487	1.62003	0.05253	2.12983	-0.11857	-0.54817	-0.72107	-0.26857	1.70983	-0.03467	2.55953	-1.23117	-1.08137	-1.75447	-0.47437	0.21733	-1.08057	0.33933	-0.81607	2.27793	1.31223	0.70623	2.60703	0.55713	1.82453	0.32033	-0.23237	-1.53577	0.81903	1.72383	0.48373	1.74013	-0.04397
SFPQ	0.95455	0.22795	0.40555	0.76075	0.90395	-0.08025	0.62375	0.93225	0.74805	1.04005	0.18675	0.79375	0.34785	1.17335	0.22455	0.29115	-1.22765	-0.09955	0.68635	0.58845	0.65825	1.02115	0.14385	-0.25235	-0.00925	0.01435	0.25125	0.85325	-0.09905	0.77955	0.15125	0.03515	0.46925	1.19625	-0.56445	0.30675	-0.22325	-0.18245	0.52245	0.48385	0.35895	-0.70085	-1.53025	-1.66945	-2.02135	-2.17385	0.18465	-2.01945	-2.07225	-2.53435	-1.75755	-0.40025	-1.60455	0.15515	-2.34475	-2.50185	-1.37175	-1.55025	-0.16805	-0.56545	-0.92895	-0.49555	-0.16785	-0.01135	-0.27645	-0.92105	-1.31055	-0.49955	-0.45425	-0.95135	-0.71095	-1.66515	0.41955	0.13085	-0.75135	-0.08745	0.12865	1.47735	0.29635	1.03655	-0.04385	0.11715	0.06935	-0.17245	-0.35125	-0.26835	0.36825	0.54665	0.02935	-0.44855	0.14625	-1.25935	-1.36865	-0.45085	-0.39415	-0.20505	-0.78855	-0.84065	-0.69645	-0.27225	0.06275	-1.11305	-0.89255	-0.57495	-0.71585	-1.49075	-0.71435	-1.00095	-0.47445	0.41205	-0.52765	-0.73895	-0.20105	-0.57155	0.32175	-0.80565	-1.61095	-0.07095	-1.75635	0.28885	0.38565	-1.68235	-0.74855	0.53385	-0.17105	0.28215	-1.20825	-0.29335	0.88265	0.81665	2.16265	1.02605	1.00585	0.72065	0.88575	1.07335	1.28595	1.05485	1.71275	1.62925	1.01275	1.21935	1.03275	0.96515	1.39485	0.79305	1.26735	1.17665	-0.38255	-0.54285	-0.24115	-0.92725	-0.10385	-0.38045	0.11125	-0.48095	-0.63105	0.10705	-0.09165	0.23845	0.87155	-0.45495	-1.26075	0.17075	-0.38705	-1.43255	-1.06355	0.71835	0.61455	0.70045	0.43555	-0.10145	0.92735	1.81365	0.59935	0.48895	0.60835	-0.18575	0.10275	0.70635	-0.59495	1.08715	-0.66055	-0.04165	-0.24245	0.87415	1.05505	0.87995	1.68035	-0.68775	0.14785	0.20195	1.16275	1.12925	0.90755	1.11825	0.26595	-0.23515	-0.84195	0.92215	0.69065	0.78765	0.68065	0.46565	0.19195	-0.40195	1.04595	1.01075	0.35525	1.27035	0.46295
QRSL1	0.31356	-0.14444	0.19356	-0.40194	-0.18094	-0.64594	0.01826	-0.28484	0.08226	-0.51714	-0.16574	0.12896	0.03396	-0.30254	0.32916	-0.09114	-0.40554	-0.30804	-0.10124	-0.02074	-0.25804	0.54506	-0.27044	-0.09304	-0.31984	-0.37524	-0.02584	-0.24224	-0.69464	-0.12994	-0.37654	-0.30584	0.03896	-0.11774	-0.38914	-0.17534	0.23906	0.29686	-0.27384	-0.23154	-0.43644	-0.64684	-0.41844	-0.71104	-0.72734	-0.51664	-0.95754	-0.66774	0.02956	-0.31174	-0.47084	-0.39784	-0.76384	-0.12004	-0.91834	-0.31874	-0.33374	-0.33184	-0.65154	0.04376	-0.51534	-0.28044	0.27476	-0.27654	-0.28624	-0.84394	-0.54484	-0.69844	-0.05304	-0.24464	-0.31174	-0.66054	0.46396	-0.70324	-0.07304	-0.52664	2.08806	0.97846	0.69976	1.50406	1.05686	1.05136	-0.57924	-0.34264	-0.28034	-0.73754	-0.03834	-0.33674	-0.72304	-0.41104	-0.08914	-0.57804	-0.61424	-0.33724	-0.36144	-0.33114	-0.53084	-0.42734	0.88436	2.00526	1.26866	0.33816	0.03816	0.62896	0.85256	1.01216	1.17136	0.47706	1.84226	-0.11124	-0.24634	-0.44564	-0.61064	-0.61004	-0.55524	-0.79894	-0.91864	-0.46004	-0.48974	1.90916	1.12186	0.32236	-0.37534	2.23796	1.84216	1.28226	1.04906	-0.11644	1.47666	1.24786	1.26826	0.84196	1.97496	1.79356	1.42026	1.60806	0.77016	1.33526	1.58476	0.06216	0.59376	0.81546	1.08216	1.52926	1.17666	0.81616	0.62136	1.26406	-0.20004	-0.35354	-0.57574	-0.35884	-0.54204	-0.46454	0.05766	-0.24314	-0.51704	-0.66044	-0.45924	-0.53464	-0.35854	-0.73494	-0.46764	-0.37374	-0.82814	-0.69954	-0.39044	-0.46514	-0.20984	-0.64714	0.00266	0.15006	0.05806	0.00756	0.01506	-0.01784	0.16306	-0.56134	-0.48924	-0.19814	-0.10884	-0.15034	-0.31134	-0.75894	-0.24614	-0.31774	-0.21944	-0.12914	-0.77524	-0.00684	0.17966	-0.13984	-0.64854	-0.01894	-0.05434	-0.29514	0.10646	-0.44484	-0.18184	-0.48254	-0.20054	-0.52194	-0.11904	0.04126	0.11006	-0.04384	-0.85234	-0.05784	-0.12124	-0.13764	-0.14854
BTK	1.97797	1.14007	0.69137	1.44847	0.81527	0.44517	1.42437	0.96397	1.37307	0.42077	1.37317	1.40817	0.85677	1.66267	1.26777	1.61677	-0.57453	-2.01943	0.95707	0.74507	1.20237	1.74437	0.39237	0.56367	0.45907	0.34627	0.48317	1.03077	0.06917	1.18497	-0.08493	1.16687	0.91337	1.46457	-1.63453	1.67667	0.33137	1.24467	2.28047	1.24417	1.97627	-1.61613	-1.56123	-1.25063	-1.77133	-0.79643	0.89677	-2.01693	-0.34373	-1.76303	-1.93763	0.24187	-0.48413	1.18837	-2.89793	-1.77863	-1.84073	-0.50373	-0.14183	0.02997	0.57657	1.08067	1.26667	0.69357	-0.40583	-0.02273	1.19427	1.92177	2.25487	0.77527	-0.07833	0.24077	1.28637	0.91717	1.33677	0.93697	1.49077	2.20697	0.36977	2.67317	1.55267	1.50607	0.93197	1.62787	1.47507	-0.06013	1.55067	2.20317	1.60597	0.75237	2.00467	0.97507	0.43667	1.49997	1.27167	1.79097	1.34107	0.48837	1.08697	1.85677	2.64047	0.86437	1.17007	0.51977	1.42917	0.24117	1.71457	1.16217	1.79037	2.13867	0.60777	0.68957	0.21327	0.35497	1.52147	-0.24673	-0.22473	0.71477	-1.39333	1.51447	1.42857	-2.02693	0.11397	2.18207	1.18847	1.07357	-0.81283	0.09537	1.94887	1.78707	3.72607	1.51337	2.80367	1.99927	1.86237	2.54397	2.11017	1.95527	2.77557	2.50677	1.90637	1.91747	2.01267	1.81907	3.35347	1.99217	1.39787	1.86087	2.01827	2.16437	1.82867	1.72877	-1.80003	-2.23963	-2.42143	-2.16323	-2.45483	-2.57233	-2.86453	-2.38403	-2.82853	-2.26953	-1.56883	2.47487	-2.42983	-2.60793	-2.03123	-0.65853	-1.62063	-3.16073	-2.31953	-1.88033	-2.93863	-2.18443	-3.04213	-2.18203	-2.70623	-2.48543	-2.63873	-2.43063	-2.52853	-2.56533	-2.50513	-2.13283	-2.02133	-2.07473	-2.43903	-2.84543	-2.63623	-2.46403	-1.96993	-2.31493	-2.75533	-2.72553	-2.74573	-2.61293	-2.72403	-2.53253	-2.21773	-2.75663	-2.54063	-2.25563	-2.41443	-2.50123	-2.44103	-2.20023	-2.93353	-2.55293	-1.97663	-2.15143	-2.56863
